clip	ending0	ending1	ending2	ending3	ending4	label
video8641	a person is showing how to fold paper	a clip of men wrestling	a man is talking about satan	a man cooking food	a clip of men singing	1
video8640	a machine is operating itself and making hole to some pipe and cutting itself	a short clip showcasing sports highlights	the man was arguing with the other man	a pink-faced grayish primate stands in the water	a pink-faced grayish primate runs along the water	3
video8647	a girl is hiding from something while the man cowers in fear of her	a boy on the phone scared	two men and a woman all in black sitting while the man on the left talks	a girl is kicking something while the man cowers in fear of her	the scene shows the milestones of the sports world	3
video8646	a person cutting up food with a large metal blade on a hard surface	asian boy is hurt and on a stretcher	a person grinding food with a large metal blade on a hard surface	many men and women are dancing	a man is talking about the camera he uses for his videos	0
video7248	a man in sunglasses prepares a music video with girls	a man fighting an undead creature	a lady looking at some products	an ambulance is driving down the street with lights flashing	a man in sunglasses sings in a music video with girls	4
video8644	the car race game in the computer game play a mand	person playing minecraft and making pokemon characters	a greyish colored cat laying on his right side	a greyish colored cat standing on his right side	a woman is cooking	2
video8009	two people are wrestling with each other	kids run around playing in a gym	a girl shoots her toy bow and arrow at a pad	a boy is performing a song on the voice	a boy is dancing for a song on the voice	3
video7423	the president of the united states is giving a speech to a crowd	a cartoon horror scene is presented	a woman with blonde hair is dancing at a song	a man is making a cake by keeping it in the oven	a woman with blonde hair is singing a song	4
video8008	showing how to fold paper airplane	a lady talking of something about the website	a financial reporter talks about a major entertainment company firing	a compost is being made in a tray	a financial reporter talks about a major entertainment company deal	4
video7541	a person in black dressing and he is explaning something	a man climbs on to a miniature motorcycle	two men talking on stage	a person in black dressing and he is preparing something	a little boy is talking while he is kneeling on the ground	0
